provider,title,link
cnn,World’s biggest twin-engine private jet gets a luxury cabin concept,https://edition.cnn.com/travel/gallery/lufthansa-celestialstar-cabin-spc-intl/index.html
cnn,Why modern ships are looking to wind power,https://edition.cnn.com/travel/gallery/modern-ships-sails-spc-intl/index.html
cnn,How the ‘Arabian unicorn’ came back from the brink,https://edition.cnn.com/world/gallery/arabian-oryx-photos-c2e/index.html
cnn,The world’s longest cantilever building just opened,https://edition.cnn.com/travel/gallery/dubai-one-zaabeel-longest-cantilever-hnk-spc-intl/index.html
cnn,"Southwest brings back buy-one, get-one-free Companion Pass promotion",https://edition.cnn.com/2024/09/04/travel/southwest-airlines-companion-pass-promotion/index.html
cnn,Here’s what’s in Harris’ economic proposals,https://edition.cnn.com/2024/09/03/politics/harris-economic-proposals/index.html
cnn,Sunken village emerges in Greece as drought dries up lake,https://edition.cnn.com/2024/09/04/climate/sunken-village-emerges-greece-drought-lake-intl-scli/index.html
cnn,Jason Momoa and Danielle Brooks are the new kids on the block in ‘Minecraft’ movie trailer,https://edition.cnn.com/2024/09/04/entertainment/minecraft-movie-trailer/index.html
cnn,Donald Trump pleads not guilty in special counsel’s January 6 case,https://edition.cnn.com/2024/09/03/politics/trump-guilty-plea-january-6-charges-smith/index.html
cnn,Texas attorney general sues county for trying to mail registration forms to unregistered voters,https://edition.cnn.com/2024/09/04/politics/ken-paxton-bexar-county-voter-registration/index.html
cnn,Why this is ‘the best time of year to go pretty much anywhere’,https://edition.cnn.com/travel/fall-destinations-where-to-go-2024/index.html
cnn,Justice Ketanji Brown Jackson reflects on ‘groundbreaking’ path to the Supreme Court in new memoir,https://edition.cnn.com/2024/09/03/politics/ketanji-brown-jackson-new-memoir/index.html
cnn,This company wants to reinvent the space rocket — as a space plane,https://edition.cnn.com/science/radian-spaceplane-rocket-sled-spc/index.html
